,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
02-09,0.66,0.4,,,60.05,70.73,390.88,730.32,,80.6,660.96,680.93,720.19,,,450.6,680.65,1280.4,2030.18,,,2470.07,2650.21
02-10,0.65,,,30.58,60.0,70.72,390.05,,,90.32,660.28,680.0,710.01,,770.26,450.28,700.11,1270.41,,,2310.8,2440.32,2610.0
02-11,0.66,,10.43,30.62,60.06,70.71,,,480.81,90.27,660.51,700.17,,770.17,780.69,450.93,680.28,,,1820.55,2370.0,2430.03,2500.86
02-12,,0.4,10.48,30.59,60.07,,,730.01,500.9,90.08,640.03,,,780.13,800.26,480.68,690.3,,2070.69,1860.5,2350.6,2430.12,
02-13,,0.4,10.52,30.57,60.08,,380.57,740.28,510.99,90.24,,,730.33,790.34,780.8,520.77,,1270.98,2090.5,1820.87,2360.3,,
02-14,0.65,0.4,10.54,30.68,,70.82,390.08,750.42,530.3,,,700.38,730.43,780.1,780.89,,,1250.44,2110.64,1760.7,2320.87,,2450.1
02-15,0.64,0.43,10.51,,,70.86,380.88,760.26,510.93,,640.36,690.31,740.21,760.24,,,690.32,1250.45,2140.6,1780.78,,2480.78,2580.88
02-16,0.66,0.41,,,60.12,70.89,390.09,750.39,,80.96,660.61,700.12,730.11,,,520.7,690.62,1250.47,2140.02,,,2490.23,2620.49
02-17,0.69,,,30.73,60.17,80.0,390.57,,,80.2,660.64,700.01,740.28,,790.43,530.0,710.29,1240.45,,,2310.47,2470.0,2500.08
02-18,0.68,,10.55,30.9,60.15,80.11,,,520.67,70.9,640.85,690.47,,760.97,780.65,550.5,730.25,,,1770.12,2280.14,2460.81,2400.0
02-19,,0.41,10.54,40.04,60.19,,,740.81,520.93,80.15,650.06,,,780.15,770.57,530.19,710.93,,2110.04,1750.16,2290.53,2500.34,
02-20,,0.41,10.52,40.12,60.26,,390.75,750.03,510.21,70.66,,,740.78,770.15,760.81,540.09,,1250.0,2150.9,1780.0,2290.9,2490.35,
02-21,0.68,0.41,10.54,40.16,,80.17,390.02,750.35,520.3,,,690.15,730.8,760.09,770.87,,,1260.9,2240.0,1750.7,2300.91,,1950.01
02-22,0.68,0.4,10.57,,,80.21,390.21,770.4,520.22,,650.06,670.46,730.43,740.81,,,730.6,1270.99,2280.5,1760.99,,2500.49,2040.3
02-23,0.69,0.39,,,60.26,80.21,390.21,770.4,,70.66,650.06,670.46,730.43,,,540.09,730.6,1270.99,2280.5,,,,
02-24,0.72,,,40.16,60.31,80.38,390.21,,,70.67,630.62,670.2,750.87,,770.43,520.67,720.34,1250.87,,,,2490.35,1320.0
02-25,0.68,,10.57,40.2,60.41,80.46,,,520.22,70.83,610.79,690.26,,740.9,780.06,520.36,730.76,,,1770.46,2270.5,2530.0,1310.3
02-26,,0.41,10.6,40.21,60.38,,,780.66,530.4,80.12,630.65,,,720.96,780.25,540.45,750.21,,2320.03,1770.64,2290.08,2500.0,
02-27,,0.4,10.68,40.32,60.41,,390.21,750.8,520.87,70.94,,,750.96,720.98,760.36,530.7,,1210.25,2310.18,1770.78,2220.0,,
02-28,0.65,0.41,10.71,40.34,,80.51,380.02,750.45,510.94,,,700.83,740.67,730.95,750.5,,,1180.81,2270.0,1800.15,2150.15,,
02-29,0.66,,,,,,,,500.22,,,,750.92,,,,760.9,,,,,,
03-01,0.69,0.41,10.96,,60.53,80.36,380.19,710.95,,,660.34,690.83,750.54,730.43,,,770.31,1220.92,2260.15,1790.85,,2490.8,
03-02,0.67,0.42,,,60.44,80.26,380.06,710.24,,70.9,670.38,690.86,770.15,,,540.1,750.2,1250.29,2240.5,,2160.96,2520.5,
03-03,0.7,,,40.55,60.28,80.35,380.37,,480.82,80.16,670.63,700.5,,,660.37,540.15,750.8,1220.43,,,2220.4,2520.89,
03-04,,,20.43,40.57,60.37,80.5,,,480.31,80.63,670.56,690.47,,720.49,710.4,520.91,760.82,,,1790.1,2220.0,2540.01,
03-05,,0.45,20.47,40.95,60.42,,,680.4,490.27,80.32,690.16,,770.64,740.1,730.92,530.5,,,2290.29,1770.2,2200.0,2510.52,
03-06,0.7,0.46,20.13,50.52,,,380.44,700.72,490.46,80.37,,,730.94,740.9,710.3,530.36,,1200.57,2240.75,1780.0,2100.01,,
03-07,0.73,0.47,20.35,50.85,,80.5,360.11,700.7,480.06,,,700.06,740.58,750.53,680.3,,770.82,1190.26,2210.9,1770.83,,,
03-08,0.73,0.47,20.35,,60.42,80.5,360.11,700.7,,,690.16,700.06,740.58,750.53,,,770.82,1190.26,,,,,
03-09,0.77,0.47,,,60.55,80.43,340.97,710.88,,80.37,700.66,700.45,740.58,,,530.36,760.51,1180.46,2230.17,,,2580.39,
03-10,0.79,,,50.85,60.44,80.29,340.61,,480.06,80.9,700.08,670.82,,,680.3,500.77,750.56,1170.6,,,1930.18,2570.32,
03-11,,,20.26,50.6,60.29,80.22,,,500.45,80.8,690.68,670.77,,760.52,640.24,500.45,770.03,,,1780.99,1880.8,2570.1,
03-12,,0.45,20.21,50.27,60.27,,,710.21,500.39,80.56,710.13,,770.01,760.03,610.48,490.95,,,2260.7,1790.14,1710.37,2600.0,
03-13,0.75,0.46,20.25,50.41,,,360.07,700.79,480.97,80.65,,,790.34,750.27,590.0,480.6,,1170.8,2280.51,1790.95,1850.85,,
03-14,0.78,0.45,20.32,50.53,,80.24,340.87,680.15,490.87,,,670.01,830.49,760.3,580.7,,760.8,1170.51,2230.05,1780.56,,,
03-15,0.75,0.49,20.45,,60.32,80.25,350.05,690.81,,,700.28,650.83,800.93,760.51,,,750.62,1170.5,2150.0,1790.05,,2630.54,
03-16,0.73,0.52,,,60.36,80.1,360.07,700.1,,90.02,710.09,650.06,820.23,,,460.91,770.0,1210.5,2080.14,,1770.0,2640.47,
03-17,0.71,,,50.2,60.44,80.24,350.95,,460.88,90.38,710.41,680.01,,,620.72,460.27,780.45,1220.73,,,1720.46,2550.33,
03-18,,,20.76,50.0,60.81,80.25,,,480.12,90.04,700.32,680.87,,720.66,650.84,470.0,790.7,,,1800.9,1620.0,2580.55,
03-19,,0.52,20.69,50.1,70.12,,,710.67,480.07,90.63,680.98,,800.97,720.81,660.3,460.55,,,2100.69,1820.15,1720.95,2590.4,
