,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
02-05,,300.66,600.59,600.78,1000.48,,,2300.81,1100.69,700.53,1300.98,,,2200.57,2400.55,4200.61,4400.3,,3100.25,4000.85,3400.8,4000.705,
02-06,,300.71,600.62,600.69,1000.57,,3000.28,2300.9,1100.38,700.88,,,1800.89,2200.62,2400.9,4300.67,,3500.19,2900.93,4000.945,3400.77,,
02-07,200.54,300.65,600.7,600.82,,1600.48,3000.06,2300.73,1000.91,,,1700.75,1900.08,2200.75,2500.14,,,3500.4,2900.87,4000.7,3500.0,,3700.185
02-08,200.81,300.69,600.75,,,1600.87,3000.39,2200.86,1000.94,,1300.9,1600.99,1900.26,2200.56,,,4300.05,3500.11,2900.81,4000.55,,4000.66,3700.355
02-09,200.8,300.69,,,1000.63,1600.55,3000.77,2200.96,,700.99,1400.11,1600.76,1800.85,,,4300.7,4300.15,3500.65,2900.5,,,4000.145,3700.445
02-10,200.74,,,600.94,1000.61,1600.86,3000.53,,,800.01,1400.22,1600.44,1800.37,,2500.4,4400.4,4300.2,3400.7,,,3500.135,4000.215,3700.805
02-11,200.82,,600.8,700.02,1000.78,1600.85,,,1100.39,700.97,1400.44,1600.78,,2200.3,2500.47,4300.82,4200.62,,,4000.39,3500.4,4000.11,3700.36
02-12,,300.68,700.03,600.92,1100.1,,,2200.13,1100.71,700.99,1400.23,,,2200.29,2500.5,4200.31,4300.2,,2900.74,4000.52,3500.425,4000.2,
02-13,,300.82,600.85,600.93,1100.19,,3000.78,2200.4,1100.83,800.32,,,1800.84,2200.8,2500.35,4100.51,,3400.06,3000.08,3900.985,3500.35,,
02-14,200.78,300.83,600.84,600.94,,1600.87,3000.38,2200.51,1100.85,,,1600.72,1800.91,2200.62,2500.5,,,3400.0,2900.88,4000.32,3500.2,,3700.41
02-15,200.6,400.02,600.88,,,1600.76,3000.32,2200.31,1100.58,,1400.09,1600.6,1900.24,2200.79,,,4400.2,3400.55,2900.85,4000.32,,4000.0,3700.87
02-16,200.6,300.9,,,1100.2,1600.71,3000.39,2200.4,,800.22,1400.37,1600.71,1900.14,,,4100.3,4400.43,3500.12,2900.67,,,4000.015,3700.825
02-17,200.66,,,600.95,1100.34,1600.99,3100.81,,,700.53,1400.36,1600.53,1900.18,,2500.45,4100.46,4400.6,3400.87,,,3500.535,3900.91,3700.255
02-18,200.59,,600.85,600.95,1100.23,1600.95,,,1100.76,700.42,1400.28,1600.19,,2200.86,2500.5,4000.4,4400.5,,,4000.165,3400.95,3900.72,3600.5
02-19,,300.7,600.78,600.82,1100.37,,,2200.58,1100.84,800.02,1400.33,,,2300.02,2500.63,4000.16,4400.39,,2900.45,4000.17,3500.3,3900.63,
02-20,,300.72,600.64,600.86,1100.57,,3200.41,2200.07,1100.66,700.89,,,1900.27,2300.02,2500.58,4000.35,,3400.64,2900.49,4000.175,3500.355,3900.985,
02-21,200.58,300.39,600.63,600.98,,1700.14,3100.91,2200.14,1200.16,,,1600.54,1900.09,2200.5,2500.3,,,3500.0,2900.8,4000.22,3500.36,,3200.58
02-22,200.55,300.41,600.7,,,1700.02,3300.66,2200.44,1200.98,,1400.33,1600.47,1900.21,2200.53,,,4400.45,3400.27,3000.27,4000.25,,3900.595,3500.005
02-23,200.55,300.38,,,1100.57,1700.02,3300.66,2200.44,,700.89,1400.33,1600.47,1900.21,,,4000.35,4400.45,3400.27,3000.27,,,,
02-24,200.55,,,600.98,1100.33,1700.62,3300.66,,,700.81,1400.46,1600.73,2000.37,,2500.55,3900.46,4400.1,3300.56,,,,3900.505,2800.005
02-25,200.29,,600.7,700.05,1100.53,1700.88,,,1200.98,700.86,1400.37,1600.79,,2300.18,2600.22,3800.65,4400.37,,,4000.385,3400.9,3900.33,2900.985
02-26,,300.48,600.64,700.22,1100.89,,,2200.8,1300.23,800.08,1500.03,,,2200.83,2700.41,3900.66,4400.32,,3000.9,4000.73,3400.765,3900.325,
02-27,,300.41,600.35,700.29,1200.94,,3400.94,2100.99,1200.8,800.28,,,2000.14,2200.96,2700.0,3800.69,,3200.21,3000.28,4000.605,3300.755,,
02-28,200.07,300.48,600.27,700.28,,1800.13,3200.17,2100.39,1200.58,,,1700.05,1900.73,2200.58,2600.81,,,3100.81,2900.5,4000.175,3200.77,,
02-29,200.28,,,,,,,,1200.27,,,,1900.92,,,,4400.2,,,,,,
03-01,200.44,300.43,600.73,,1200.89,1800.0,3200.58,2000.2,,,1500.15,1600.68,1900.96,2200.24,,,4300.42,3200.3,2900.94,4000.245,,3900.64,
03-02,200.56,300.45,,,1200.4,1700.76,3300.22,2000.15,,800.12,1500.19,1600.66,2000.03,,,4100.01,4300.47,3200.5,3000.1,,3200.705,4000.14,
03-03,200.7,,,700.66,1200.14,1800.05,3400.68,,1100.93,800.13,1500.16,1600.59,,,2500.0,4200.33,4300.97,3200.49,,,3200.93,4000.13,
03-04,,,600.78,700.55,1200.7,1800.39,,,1200.36,800.47,1500.34,1600.33,,2100.74,2600.0,4100.3,4400.05,,,4000.17,3400.32,3900.85,
03-05,,300.65,600.95,700.84,1300.39,,,1900.11,1200.83,800.33,1500.5,,2000.09,2200.41,2600.4,4200.45,,,3000.14,4000.1,3300.705,3900.865,
