,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
02-08,10.3,0.73,20.57,,,150.04,420.9,890.55,830.44,,790.28,1010.57,950.07,1070.16,,,940.7,1710.2,2530.19,2100.43,,2740.77,2690.8
02-09,10.31,0.72,,,80.75,150.07,450.0,890.5,,160.73,800.31,990.83,950.17,,,650.57,930.89,1680.8,2500.11,,,2670.91,2790.09
02-10,10.3,,,60.09,80.71,150.08,440.1,,,170.92,810.28,960.45,940.01,,950.49,650.0,960.35,1650.5,,,2520.26,2650.53,2750.2
02-11,10.3,,20.69,60.24,80.87,150.24,,,830.59,180.53,820.63,1010.04,,1070.04,960.18,650.12,940.2,,,2140.0,2540.5,2650.1,2600.83
02-12,,0.72,20.69,60.21,80.97,,,880.64,850.67,180.6,790.97,,,1080.49,970.0,670.21,940.85,,2550.05,2190.1,2540.5,2640.0,
02-13,,0.74,20.72,60.22,80.97,,430.71,900.8,850.36,180.95,,,960.17,1080.78,950.5,700.6,,1640.7,2580.3,2130.9,2530.89,,
02-14,10.32,0.73,20.72,60.33,,150.51,440.4,910.91,860.45,,,1010.28,960.4,1070.79,960.7,,,1620.7,2620.03,2040.43,2510.75,,2560.7
02-15,10.27,0.78,20.68,,,150.66,430.91,930.75,830.3,,800.24,990.62,970.06,1050.1,,,950.25,1630.5,2640.58,2080.0,,2700.18,2740.0
02-16,10.34,0.75,,,90.0,150.43,440.25,920.26,,170.76,830.14,1000.83,960.17,,,700.0,960.51,1660.49,2660.99,,,2710.25,2770.78
02-17,10.38,,,60.38,90.07,150.47,450.3,,,150.29,820.59,1000.83,960.74,,970.47,720.45,990.2,1650.49,,,2510.36,2680.94,2600.58
02-18,10.37,,20.68,60.49,90.1,150.55,,,840.83,140.48,790.86,1000.7,,1060.23,960.73,760.4,1020.7,,,2040.19,2490.2,2660.51,2500.28
02-19,,0.73,20.67,60.47,90.22,,,920.25,840.53,150.23,790.31,,,1080.48,940.8,730.78,1010.5,,2660.85,2020.08,2490.7,2710.35,
02-20,,0.72,20.63,60.58,90.4,,450.79,920.4,820.66,140.36,,,970.51,1070.92,940.6,740.75,,1650.44,2670.22,2060.89,2500.15,2700.51,
02-21,10.35,0.67,20.67,60.66,,150.51,440.5,920.8,840.19,,,1000.49,960.69,1060.58,940.93,,,1670.0,2790.2,2030.41,2500.8,,2010.0
02-22,10.37,0.68,20.76,,,150.66,440.72,970.0,820.92,,790.31,980.55,960.07,1060.18,,,1030.2,1650.9,2770.49,2050.25,,2730.0,2080.53
