,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
02-12,,,,,,,,2690.35,3010.89,1200.81,1620.8,,,1330.26,1480.44,1570.7,1310.3,,1370.3,1630.68,2380.03,2260.0,
02-13,,,,,,,2190.67,2740.87,3070.3,1260.46,,,1910.97,1370.06,1450.97,1620.4,,1410.2,1390.85,1590.27,2330.55,,
02-14,,,,,,,2190.95,2810.32,3100.98,,,2030.86,1910.38,1340.01,1490.0,,,1400.62,1380.89,1550.15,2320.5,,3210.85
02-15,,,,,,,2190.55,2780.79,3050.66,,1640.48,1990.6,1910.65,1330.99,,,1330.43,1390.72,1370.06,1590.04,,2280.3,3330.6
02-16,,,,,,,2200.08,2820.5,,1240.02,1710.91,1990.33,1900.08,,,1600.19,1350.85,1390.16,1370.06,,,2320.4,3360.5
02-17,,,,,,,2260.36,,,1130.89,1710.55,1950.45,1890.86,,1510.22,1590.2,1370.1,1380.12,,,2330.75,2260.77,3230.51
02-18,,,,,,,,,3110.47,1100.27,1680.2,1950.62,,1350.8,1530.0,1630.0,1380.0,,,1560.43,2300.5,2240.74,3090.48
02-19,,,,,,,,2840.2,3170.64,1140.16,1710.27,,,1370.61,1470.46,1600.9,1360.9,,1380.31,1540.03,2310.9,2260.17,
02-20,,,,,,,2280.09,2790.44,3110.9,1110.38,,,1900.97,1370.24,1480.17,1580.0,,1380.5,1410.32,1540.43,2340.6,2260.4,
02-21,,,,,,,2250.14,2800.4,3190.2,,,1980.86,1880.67,1350.78,1490.18,,,1380.35,1440.0,1530.5,2320.0,,2570.3
02-22,,,,,,,2250.22,2820.0,3170.35,,1710.27,1970.73,1870.0,1360.78,,,1390.9,1360.68,1450.97,1540.64,,2240.69,2830.51
02-23,,,,,,,2250.22,2820.0,,1110.38,1710.27,1970.73,1870.0,,,1580.0,1390.9,1360.68,1450.97,,,,
02-24,,,,,,,2250.22,,,1110.12,1710.12,2080.01,1930.69,,1490.1,1540.99,1370.15,1360.75,,,,2210.07,2100.0
02-25,,,,,,,,,3170.35,1130.13,1650.58,2090.17,,1380.1,1460.2,1500.7,1370.97,,,1540.6,2240.68,2230.57,2280.0
02-26,,,,,,,,2850.33,3150.68,1180.92,1660.54,,,1360.52,1430.5,1510.65,1380.67,,1470.0,1550.36,2240.76,2180.9,
02-27,,,,,,,2250.44,2750.52,3140.11,1150.86,,,1930.08,1370.62,1400.54,1520.95,,1350.07,1460.5,1560.4,2170.5,,
02-28,,,,,,,2180.26,2660.59,3100.35,,,2110.1,1910.52,1370.33,1400.0,,,1340.0,1430.16,1580.99,2020.65,,
02-29,,,,,,,,,3050.34,,,,1930.91,,,,1410.4,,,,,,
03-01,,,,,,,2170.16,2560.42,,,1680.11,2090.0,1940.06,1340.49,,,1420.0,1330.85,1400.1,1560.71,,2210.24,
03-02,,,,,,,2180.55,2600.27,,1110.76,1690.63,2110.72,1950.72,,,1550.5,1400.14,1310.3,1380.57,,1980.78,2230.23,
03-03,,,,,,,2270.91,,3010.39,1110.2,1700.25,2130.54,,,1210.04,1590.0,1440.5,1340.8,,,2010.48,2220.95,
03-04,,,,,,,,,3060.04,1140.57,1720.04,2130.05,,1320.99,1290.39,1540.0,1460.16,,,1540.4,2000.0,2230.44,
03-05,,,,,,,,2490.66,3070.17,1120.09,1760.85,,1990.69,1360.24,1250.62,1540.8,,,1410.6,1530.2,1980.0,2250.34,
03-06,,,,,,,2310.85,2540.02,3050.19,1120.65,,,1920.9,1350.1,1240.2,1520.12,,1340.6,1400.59,1540.2,1880.27,,
03-07,,,,,,,2230.16,2530.4,2980.37,,,2140.17,1930.71,1330.65,1240.0,,1500.15,1320.89,1370.52,1510.9,,,
03-08,,,,,,,2230.16,2530.4,,,1760.85,2140.17,1930.71,1330.65,,,1500.15,1320.89,,,,,
03-09,,,,,,,2180.87,2630.78,,1120.65,1750.21,2140.87,1930.71,,,1520.12,1470.43,1290.0,1390.08,,,2320.32,
03-10,,,,,,,2170.54,,2980.37,1240.3,1730.96,2080.04,,,1240.0,1480.05,1460.94,1280.78,,,1710.0,2320.0,
03-11,,,,,,,,,3080.89,1260.1,1710.08,2090.01,,1360.53,1210.04,1450.99,1440.3,,,1510.6,1720.03,2310.49,
03-12,,,,,,,,2600.58,3090.09,1220.55,1720.75,,1970.13,1370.19,1190.01,1440.7,,,1410.6,1510.64,1630.73,2330.49,
03-13,,,,,,,2230.2,2600.23,3020.22,1270.47,,,1970.36,1400.58,1180.5,1410.8,,1290.93,1420.69,1530.3,1660.1,,
03-14,,,,,,,2190.69,2530.36,3040.29,,,2150.97,1980.78,1420.09,1170.87,,1430.2,1280.8,1390.73,1520.68,,,
03-15,,,,,,,2210.23,2550.54,,,1690.26,2170.44,1990.39,1440.07,,,1420.54,1270.6,1390.0,1540.56,,2360.39,
03-16,,,,,,,2200.87,2540.41,,1280.75,1710.33,2210.92,1970.24,,,1390.75,1440.75,1280.05,1380.89,,1680.07,2350.25,
03-17,,,,,,,2280.9,,2900.53,1250.99,1710.85,2240.55,,,1200.3,1390.7,1470.27,1280.94,,,1670.0,2270.7,
03-18,,,,,,,,,2950.31,1200.52,1700.79,2230.87,,1440.11,1270.0,1400.25,1500.65,,,1550.84,1660.34,2270.55,
03-19,,,,,,,,2570.55,2950.36,1240.43,1670.04,,1900.98,1420.41,1250.55,1360.81,,,1400.67,1550.5,1740.56,2250.08,
03-20,,,,,,,2260.04,2530.62,2870.94,1260.12,,,1850.93,1420.17,1260.13,1360.0,,1280.79,1400.44,1560.09,1760.26,,
03-21,,,,,,,2230.63,2530.28,2880.78,,,2220.5,1850.44,1420.5,1250.0,,1490.9,1290.3,1420.26,1550.33,,,
03-22,,,,,,,2250.02,2600.73,,,1690.28,2200.39,1810.36,1400.13,,,1490.62,1310.65,1400.46,1520.29,,2210.0,
03-23,,,,,,,2260.44,2680.84,,1360.93,1670.64,2230.2,1820.28,,,1340.61,1460.0,1300.99,1400.5,,1680.35,2230.58,
03-24,,,,,,,2280.79,,2950.82,1330.27,1640.83,2240.19,,,1230.6,1370.15,1450.8,1300.05,,,1770.95,2240.51,2580.51
03-25,,,,,,,,,2940.1,1370.76,1620.22,2230.0,,1380.58,1270.93,1340.9,1460.04,,,1520.29,1800.2,2230.25,2270.0
03-26,,,,,,,,2740.52,2920.64,1360.68,1610.12,,1840.82,1360.74,1330.0,1320.2,,,1400.62,1510.12,1810.5,2250.97,
03-27,,,,,,,2320.18,2690.25,2970.06,1330.42,,,1820.94,1360.22,1300.83,1340.88,,1280.8,1400.86,1490.49,1740.5,,
03-28,,,,,,,2280.12,2710.46,2990.17,,,2250.41,1800.14,1330.21,1320.9,,1450.1,1290.2,1400.01,1490.98,,,2180.6
