,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
02-16,,,,,,35.5,83.5,144.4,,78.99,180.03,329.15,395.38,,,524.6,605.2,756.1,737.6,,,1391.0,1621.4
02-17,,,,,,35.24,84.5,,,70.02,178.02,326.9,390.38,,416.03,522.7,615.7,759.5,,,1092.0,1351.6,1542.8
02-18,,,,,,35.24,,,178.61,69.96,175.88,333.25,,330.89,415.73,527.5,636.3,,,1074.0,1094.4,1341.2,1492.8
02-19,,,,,,,,144.81,181.14,73.27,178.91,,,329.57,412.6,529.2,629.5,,729.1,1094.6,1117.0,1365.2,
02-20,,,,,,,85.0,143.91,180.29,70.04,,,394.2,324.67,408.55,518.1,,754.9,728.0,1125.0,1106.4,1360.4,
02-21,,,,,,35.0,83.92,144.71,190.48,,,334.97,388.04,320.71,407.0,,,779.0,739.9,1121.6,1094.2,,1281.8
02-22,,,,,,34.95,85.5,149.24,190.22,,178.91,332.59,386.13,323.33,,,640.3,778.9,735.9,1129.0,,1341.8,1354.0
02-23,,,,,,34.95,85.5,149.24,,70.04,178.91,332.59,386.13,,,518.1,640.3,778.9,735.9,,,,
02-24,,,,,,34.95,85.5,,,70.55,177.01,336.56,401.87,,411.0,518.3,630.8,783.0,,,,1314.0,1001.4
02-25,,,,,,34.95,,,190.22,76.14,169.36,354.42,,326.85,417.02,506.7,634.3,,,1121.2,1048.0,1308.0,1134.0
02-26,,,,,,,,150.96,190.8,79.03,165.97,,,327.2,421.0,499.3,630.1,,734.0,1106.0,1039.6,1278.4,
02-27,,,,,,,92.75,144.44,187.59,81.86,,,397.54,329.58,415.24,503.7,,757.5,735.0,1095.4,998.4,,
02-28,,,,,,34.77,94.7,141.69,186.03,,,371.86,396.36,328.19,412.0,,,754.0,710.0,1080.4,964.8,,
02-29,,,,,,,,,181.91,,,,399.41,,,,646.0,,,,,,
03-01,,,,,,34.77,91.5,136.03,,,169.05,364.05,395.69,316.99,,,637.8,751.7,732.9,1076.2,,1300.0,
03-02,,,,,,34.77,99.0,139.88,,77.5,172.42,368.37,402.61,,,512.2,636.0,739.8,732.0,,997.2,1318.8,
03-03,,,,,,34.77,102.05,,177.73,79.45,177.51,362.43,,,348.95,522.0,628.9,746.3,,,1007.6,1316.0,
03-04,,,,,,34.77,,,182.95,78.48,179.97,351.26,,305.36,377.93,512.7,625.7,,,1094.2,998.0,1321.6,
03-05,,,,,,,,133.35,185.7,74.15,182.04,,412.25,313.28,377.0,512.4,,,736.4,1081.0,988.0,1397.4,
03-06,,,,,,,103.0,134.07,188.89,72.07,,,399.92,318.11,370.44,498.7,,755.0,736.9,1092.0,964.8,,
03-07,,,,,,34.77,102.01,133.36,185.82,,,354.66,406.05,311.06,362.0,,639.6,746.3,717.7,1074.6,,,
03-08,,,,,,34.77,102.01,133.36,,,182.04,354.66,406.05,311.06,,,639.6,746.3,,,,,
03-09,,,,,,34.77,100.06,140.35,,72.07,187.86,362.07,406.05,,,498.7,632.0,715.2,734.1,,,1466.8,
03-10,,,,,,35.2,99.0,,185.82,73.97,189.81,358.9,,,362.0,485.0,634.0,707.3,,,963.0,1473.2,
03-11,,,,,,35.5,,,194.3,73.52,191.29,349.35,,310.66,351.53,482.0,624.4,,,1089.0,916.6,1483.8,
03-12,,,,,,,,139.01,195.11,72.16,192.43,,414.08,308.14,343.85,471.8,,,740.9,1088.0,801.0,1519.4,
03-13,,,,,,,94.21,136.54,189.71,72.04,,,414.96,304.35,332.8,461.7,,721.8,739.7,1080.0,806.0,,
03-14,,,,,,35.65,92.2,134.24,190.23,,,348.25,416.99,311.37,312.0,,624.0,717.4,723.8,1060.4,,,
03-15,,,,,,35.65,90.31,136.22,,,189.22,340.47,419.19,315.54,,,620.6,723.2,726.8,1057.6,,1554.4,
03-16,,,,,,35.65,93.22,136.7,,71.48,190.31,349.02,416.92,,,466.0,623.8,722.1,733.2,,824.2,1544.4,
03-17,,,,,,35.65,94.15,,184.21,77.89,191.57,356.81,,,328.59,460.0,610.5,740.0,,,788.4,1488.0,
03-18,,,,,,35.65,,,184.99,75.41,190.9,370.26,,308.73,360.04,464.0,610.5,,,1054.8,715.8,1463.6,
03-19,,,,,,,,138.45,184.6,77.42,187.21,,407.95,305.77,357.0,447.0,,,755.0,1052.0,832.4,1414.4,
03-20,,,,,,,92.38,140.05,179.42,78.59,,,396.58,312.22,359.0,453.0,,738.1,748.2,1052.0,781.8,,
03-21,,,,,,35.65,93.29,139.99,185.11,,,370.95,400.92,315.15,330.73,,612.5,742.5,757.1,1085.4,,,
03-22,,,,,,35.65,97.5,145.34,,,189.79,364.37,393.95,313.45,,,616.2,747.0,751.4,1084.8,,1437.0,
03-23,,,,,,36.1,100.63,151.6,,88.05,187.08,366.04,399.87,,,434.8,608.5,738.6,743.9,,806.0,1479.4,
03-24,,,,,,36.1,103.8,,187.97,84.64,183.28,373.13,,,329.0,429.4,606.5,736.0,,,864.0,1518.2,1343.6
03-25,,,,,,36.1,,,184.77,88.01,186.47,374.79,,309.3,340.16,430.3,608.0,,,1091.0,922.2,1480.0,1400.0
03-26,,,,,,,,156.04,186.05,87.33,191.76,,403.03,308.51,354.3,418.0,,,744.9,1079.0,918.2,1496.6,
03-27,,,,,,,103.0,154.98,191.43,84.43,,,401.59,312.99,341.4,416.5,,727.7,743.4,1061.8,869.6,,
03-28,,,,,,36.1,101.37,154.92,191.16,,,375.96,388.0,315.06,342.5,,602.2,740.6,739.5,1059.2,,,1379.0
03-29,,,,,,36.5,101.0,152.74,,,195.81,371.65,379.79,314.91,,,597.5,729.2,739.1,1078.2,,1498.0,1470.0
03-30,,,,,,38.5,119.29,150.48,,76.69,194.29,376.83,388.4,,,432.0,599.6,714.1,743.2,,866.0,1495.8,1444.0
03-31,,,,,,35.0,113.26,,187.76,78.61,193.09,377.54,,,351.0,432.0,598.0,704.9,,,917.6,1492.2,1450.0
04-01,,,,,,37.0,,,189.35,78.58,193.48,383.38,,317.37,353.0,450.3,590.0,,,1063.0,891.0,1472.4,1390.0
04-02,,,,,,,,148.37,190.6,86.05,194.85,,395.2,318.67,348.89,467.2,,,737.3,1061.8,953.0,1486.0,
04-03,,,,,,,111.62,145.4,189.86,86.96,,,403.39,317.6,347.0,476.4,,701.5,739.1,1068.0,987.0,,
